,N,L,N',L',S,J,T,MT,E
3,0,0,0,0,1,1,0,0,9.0
8,0,0,1,0,1,1,0,0,7.3484692283
13,0,0,2,0,1,1,0,0,0.0
18,0,0,3,0,1,1,0,0,0.0
23,0,0,4,0,1,1,0,0,0.0
28,0,0,5,0,1,1,0,0,0.0
33,0,0,6,0,1,1,0,0,0.0
38,0,0,7,0,1,1,0,0,0.0
43,0,0,8,0,1,1,0,0,0.0
48,0,0,9,0,1,1,0,0,0.0
53,0,0,10,0,1,1,0,0,0.0
58,0,0,11,0,1,1,0,0,0.0
63,0,0,12,0,1,1,0,0,0.0
68,0,0,13,0,1,1,0,0,0.0
73,0,0,14,0,1,1,0,0,0.0
78,0,0,15,0,1,1,0,0,0.0
83,0,0,16,0,1,1,0,0,0.0
88,0,0,17,0,1,1,0,0,0.0
93,0,0,18,0,1,1,0,0,0.0
98,0,0,19,0,1,1,0,0,0.0
103,0,0,20,0,1,1,0,0,0.0
108,0,0,21,0,1,1,0,0,0.0
113,0,0,22,0,1,1,0,0,0.0
118,0,0,23,0,1,1,0,0,0.0
123,0,0,24,0,1,1,0,0,0.0
128,0,0,25,0,1,1,0,0,0.0
133,0,0,26,0,1,1,0,0,0.0
138,0,0,27,0,1,1,0,0,0.0
143,0,0,28,0,1,1,0,0,0.0
148,0,0,29,0,1,1,0,0,0.0
153,0,0,30,0,1,1,0,0,0.0
158,0,0,31,0,1,1,0,0,0.0
163,0,0,32,0,1,1,0,0,0.0
168,0,0,33,0,1,1,0,0,0.0
173,0,0,34,0,1,1,0,0,0.0
178,0,0,35,0,1,1,0,0,0.0
183,0,0,36,0,1,1,0,0,0.0
188,0,0,37,0,1,1,0,0,0.0
193,0,0,38,0,1,1,0,0,0.0
198,0,0,39,0,1,1,0,0,0.0
203,0,0,40,0,1,1,0,0,0.0
208,0,0,41,0,1,1,0,0,0.0
213,0,0,42,0,1,1,0,0,0.0
218,0,0,43,0,1,1,0,0,0.0
223,0,0,44,0,1,1,0,0,0.0
228,0,0,45,0,1,1,0,0,0.0
233,0,0,46,0,1,1,0,0,0.0
238,0,0,47,0,1,1,0,0,0.0
243,0,0,48,0,1,1,0,0,0.0
248,0,0,49,0,1,1,0,0,0.0
253,0,0,50,0,1,1,0,0,0.0
258,0,0,51,0,1,1,0,0,0.0
263,0,0,52,0,1,1,0,0,0.0
268,0,0,53,0,1,1,0,0,0.0
273,0,0,54,0,1,1,0,0,0.0
278,0,0,55,0,1,1,0,0,0.0
283,0,0,56,0,1,1,0,0,0.0
288,0,0,57,0,1,1,0,0,0.0
293,0,0,58,0,1,1,0,0,0.0
298,0,0,59,0,1,1,0,0,0.0
303,0,0,60,0,1,1,0,0,0.0
308,0,0,61,0,1,1,0,0,0.0
313,0,0,62,0,1,1,0,0,0.0
318,0,0,63,0,1,1,0,0,0.0
323,0,0,64,0,1,1,0,0,0.0
328,0,0,65,0,1,1,0,0,0.0
333,0,0,66,0,1,1,0,0,0.0
338,0,0,67,0,1,1,0,0,0.0
343,0,0,68,0,1,1,0,0,0.0
348,0,0,69,0,1,1,0,0,0.0
353,0,0,70,0,1,1,0,0,0.0
358,0,0,71,0,1,1,0,0,0.0
363,0,0,72,0,1,1,0,0,0.0
368,0,0,73,0,1,1,0,0,0.0
373,0,0,74,0,1,1,0,0,0.0
378,0,0,75,0,1,1,0,0,0.0
383,0,0,76,0,1,1,0,0,0.0
388,0,0,77,0,1,1,0,0,0.0
393,0,0,78,0,1,1,0,0,0.0
398,0,0,79,0,1,1,0,0,0.0
403,0,0,80,0,1,1,0,0,0.0
408,0,0,81,0,1,1,0,0,0.0
413,0,0,82,0,1,1,0,0,0.0
418,0,0,83,0,1,1,0,0,0.0
423,0,0,84,0,1,1,0,0,0.0
428,0,0,85,0,1,1,0,0,0.0
433,0,0,86,0,1,1,0,0,0.0
438,0,0,87,0,1,1,0,0,0.0
443,0,0,88,0,1,1,0,0,0.0
448,0,0,89,0,1,1,0,0,0.0
453,0,0,90,0,1,1,0,0,0.0
458,0,0,91,0,1,1,0,0,0.0
463,0,0,92,0,1,1,0,0,0.0
468,0,0,93,0,1,1,0,0,0.0
473,0,0,94,0,1,1,0,0,0.0
478,0,0,95,0,1,1,0,0,0.0
483,0,0,96,0,1,1,0,0,0.0
488,0,0,97,0,1,1,0,0,0.0
493,0,0,98,0,1,1,0,0,0.0
498,0,0,99,0,1,1,0,0,0.0
503,0,0,100,0,1,1,0,0,0.0
2124,1,0,1,0,1,1,0,0,21.0
2129,1,0,2,0,1,1,0,0,13.416407865
2134,1,0,3,0,1,1,0,0,0.0
2139,1,0,4,0,1,1,0,0,0.0
2144,1,0,5,0,1,1,0,0,0.0
2149,1,0,6,0,1,1,0,0,0.0
2154,1,0,7,0,1,1,0,0,0.0
2159,1,0,8,0,1,1,0,0,0.0
2164,1,0,9,0,1,1,0,0,0.0
2169,1,0,10,0,1,1,0,0,0.0
2174,1,0,11,0,1,1,0,0,0.0
2179,1,0,12,0,1,1,0,0,0.0
2184,1,0,13,0,1,1,0,0,0.0
2189,1,0,14,0,1,1,0,0,0.0
2194,1,0,15,0,1,1,0,0,0.0
2199,1,0,16,0,1,1,0,0,0.0
2204,1,0,17,0,1,1,0,0,0.0
2209,1,0,18,0,1,1,0,0,0.0
2214,1,0,19,0,1,1,0,0,0.0
2219,1,0,20,0,1,1,0,0,0.0
2224,1,0,21,0,1,1,0,0,0.0
2229,1,0,22,0,1,1,0,0,0.0
2234,1,0,23,0,1,1,0,0,0.0
2239,1,0,24,0,1,1,0,0,0.0
2244,1,0,25,0,1,1,0,0,0.0
2249,1,0,26,0,1,1,0,0,0.0
2254,1,0,27,0,1,1,0,0,0.0
2259,1,0,28,0,1,1,0,0,0.0
2264,1,0,29,0,1,1,0,0,0.0
2269,1,0,30,0,1,1,0,0,0.0
2274,1,0,31,0,1,1,0,0,0.0
2279,1,0,32,0,1,1,0,0,0.0
2284,1,0,33,0,1,1,0,0,0.0
2289,1,0,34,0,1,1,0,0,0.0
2294,1,0,35,0,1,1,0,0,0.0
2299,1,0,36,0,1,1,0,0,0.0
2304,1,0,37,0,1,1,0,0,0.0
2309,1,0,38,0,1,1,0,0,0.0
2314,1,0,39,0,1,1,0,0,0.0
2319,1,0,40,0,1,1,0,0,0.0
2324,1,0,41,0,1,1,0,0,0.0
2329,1,0,42,0,1,1,0,0,0.0
2334,1,0,43,0,1,1,0,0,0.0
2339,1,0,44,0,1,1,0,0,0.0
2344,1,0,45,0,1,1,0,0,0.0
2349,1,0,46,0,1,1,0,0,0.0
2354,1,0,47,0,1,1,0,0,0.0
2359,1,0,48,0,1,1,0,0,0.0
2364,1,0,49,0,1,1,0,0,0.0
2369,1,0,50,0,1,1,0,0,0.0
2374,1,0,51,0,1,1,0,0,0.0
2379,1,0,52,0,1,1,0,0,0.0
2384,1,0,53,0,1,1,0,0,0.0
2389,1,0,54,0,1,1,0,0,0.0
2394,1,0,55,0,1,1,0,0,0.0
2399,1,0,56,0,1,1,0,0,0.0
2404,1,0,57,0,1,1,0,0,0.0
2409,1,0,58,0,1,1,0,0,0.0
2414,1,0,59,0,1,1,0,0,0.0
2419,1,0,60,0,1,1,0,0,0.0
2424,1,0,61,0,1,1,0,0,0.0
2429,1,0,62,0,1,1,0,0,0.0
2434,1,0,63,0,1,1,0,0,0.0
2439,1,0,64,0,1,1,0,0,0.0
2444,1,0,65,0,1,1,0,0,0.0
2449,1,0,66,0,1,1,0,0,0.0
2454,1,0,67,0,1,1,0,0,0.0
2459,1,0,68,0,1,1,0,0,0.0
2464,1,0,69,0,1,1,0,0,0.0
2469,1,0,70,0,1,1,0,0,0.0
2474,1,0,71,0,1,1,0,0,0.0
2479,1,0,72,0,1,1,0,0,0.0
2484,1,0,73,0,1,1,0,0,0.0
2489,1,0,74,0,1,1,0,0,0.0
2494,1,0,75,0,1,1,0,0,0.0
2499,1,0,76,0,1,1,0,0,0.0
2504,1,0,77,0,1,1,0,0,0.0
2509,1,0,78,0,1,1,0,0,0.0
2514,1,0,79,0,1,1,0,0,0.0
2519,1,0,80,0,1,1,0,0,0.0
2524,1,0,81,0,1,1,0,0,0.0
2529,1,0,82,0,1,1,0,0,0.0
2534,1,0,83,0,1,1,0,0,0.0
2539,1,0,84,0,1,1,0,0,0.0
2544,1,0,85,0,1,1,0,0,0.0
2549,1,0,86,0,1,1,0,0,0.0
2554,1,0,87,0,1,1,0,0,0.0
2559,1,0,88,0,1,1,0,0,0.0
2564,1,0,89,0,1,1,0,0,0.0
2569,1,0,90,0,1,1,0,0,0.0
2574,1,0,91,0,1,1,0,0,0.0
2579,1,0,92,0,1,1,0,0,0.0
2584,1,0,93,0,1,1,0,0,0.0
2589,1,0,94,0,1,1,0,0,0.0
2594,1,0,95,0,1,1,0,0,0.0
2599,1,0,96,0,1,1,0,0,0.0
2604,1,0,97,0,1,1,0,0,0.0
2609,1,0,98,0,1,1,0,0,0.0
2614,1,0,99,0,1,1,0,0,0.0
2619,1,0,100,0,1,1,0,0,0.0
4224,2,0,2,0,1,1,0,0,33.0
4229,2,0,3,0,1,1,0,0,19.4422220952
4234,2,0,4,0,1,1,0,0,0.0
4239,2,0,5,0,1,1,0,0,0.0
4244,2,0,6,0,1,1,0,0,0.0
4249,2,0,7,0,1,1,0,0,0.0
4254,2,0,8,0,1,1,0,0,0.0
4259,2,0,9,0,1,1,0,0,0.0
4264,2,0,10,0,1,1,0,0,0.0
4269,2,0,11,0,1,1,0,0,0.0
4274,2,0,12,0,1,1,0,0,0.0
4279,2,0,13,0,1,1,0,0,0.0
4284,2,0,14,0,1,1,0,0,0.0
4289,2,0,15,0,1,1,0,0,0.0
4294,2,0,16,0,1,1,0,0,0.0
4299,2,0,17,0,1,1,0,0,0.0
4304,2,0,18,0,1,1,0,0,0.0
4309,2,0,19,0,1,1,0,0,0.0
4314,2,0,20,0,1,1,0,0,0.0
4319,2,0,21,0,1,1,0,0,0.0
4324,2,0,22,0,1,1,0,0,0.0
4329,2,0,23,0,1,1,0,0,0.0
4334,2,0,24,0,1,1,0,0,0.0
4339,2,0,25,0,1,1,0,0,0.0
4344,2,0,26,0,1,1,0,0,0.0
4349,2,0,27,0,1,1,0,0,0.0
4354,2,0,28,0,1,1,0,0,0.0
4359,2,0,29,0,1,1,0,0,0.0
4364,2,0,30,0,1,1,0,0,0.0
4369,2,0,31,0,1,1,0,0,0.0
4374,2,0,32,0,1,1,0,0,0.0
4379,2,0,33,0,1,1,0,0,0.0
4384,2,0,34,0,1,1,0,0,0.0
4389,2,0,35,0,1,1,0,0,0.0
4394,2,0,36,0,1,1,0,0,0.0
4399,2,0,37,0,1,1,0,0,0.0
4404,2,0,38,0,1,1,0,0,0.0
4409,2,0,39,0,1,1,0,0,0.0
4414,2,0,40,0,1,1,0,0,0.0
4419,2,0,41,0,1,1,0,0,0.0
4424,2,0,42,0,1,1,0,0,0.0
4429,2,0,43,0,1,1,0,0,0.0
4434,2,0,44,0,1,1,0,0,0.0
4439,2,0,45,0,1,1,0,0,0.0
4444,2,0,46,0,1,1,0,0,0.0
4449,2,0,47,0,1,1,0,0,0.0
4454,2,0,48,0,1,1,0,0,0.0
4459,2,0,49,0,1,1,0,0,0.0
4464,2,0,50,0,1,1,0,0,0.0
4469,2,0,51,0,1,1,0,0,0.0
4474,2,0,52,0,1,1,0,0,0.0
4479,2,0,53,0,1,1,0,0,0.0
4484,2,0,54,0,1,1,0,0,0.0
4489,2,0,55,0,1,1,0,0,0.0
4494,2,0,56,0,1,1,0,0,0.0
4499,2,0,57,0,1,1,0,0,0.0
4504,2,0,58,0,1,1,0,0,0.0
4509,2,0,59,0,1,1,0,0,0.0
4514,2,0,60,0,1,1,0,0,0.0
4519,2,0,61,0,1,1,0,0,0.0
4524,2,0,62,0,1,1,0,0,0.0
4529,2,0,63,0,1,1,0,0,0.0
4534,2,0,64,0,1,1,0,0,0.0
4539,2,0,65,0,1,1,0,0,0.0
4544,2,0,66,0,1,1,0,0,0.0
4549,2,0,67,0,1,1,0,0,0.0
4554,2,0,68,0,1,1,0,0,0.0
4559,2,0,69,0,1,1,0,0,0.0
4564,2,0,70,0,1,1,0,0,0.0
4569,2,0,71,0,1,1,0,0,0.0
4574,2,0,72,0,1,1,0,0,0.0
4579,2,0,73,0,1,1,0,0,0.0
4584,2,0,74,0,1,1,0,0,0.0
4589,2,0,75,0,1,1,0,0,0.0
4594,2,0,76,0,1,1,0,0,0.0
4599,2,0,77,0,1,1,0,0,0.0
4604,2,0,78,0,1,1,0,0,0.0
4609,2,0,79,0,1,1,0,0,0.0
4614,2,0,80,0,1,1,0,0,0.0
4619,2,0,81,0,1,1,0,0,0.0
4624,2,0,82,0,1,1,0,0,0.0
4629,2,0,83,0,1,1,0,0,0.0
4634,2,0,84,0,1,1,0,0,0.0
4639,2,0,85,0,1,1,0,0,0.0
4644,2,0,86,0,1,1,0,0,0.0
4649,2,0,87,0,1,1,0,0,0.0
4654,2,0,88,0,1,1,0,0,0.0
4659,2,0,89,0,1,1,0,0,0.0
4664,2,0,90,0,1,1,0,0,0.0
4669,2,0,91,0,1,1,0,0,0.0
4674,2,0,92,0,1,1,0,0,0.0
4679,2,0,93,0,1,1,0,0,0.0
4684,2,0,94,0,1,1,0,0,0.0
4689,2,0,95,0,1,1,0,0,0.0
4694,2,0,96,0,1,1,0,0,0.0
4699,2,0,97,0,1,1,0,0,0.0
4704,2,0,98,0,1,1,0,0,0.0
4709,2,0,99,0,1,1,0,0,0.0
4714,2,0,100,0,1,1,0,0,0.0
6303,3,0,3,0,1,1,0,0,45.0
6308,3,0,4,0,1,1,0,0,25.4558441227
6313,3,0,5,0,1,1,0,0,0.0
6318,3,0,6,0,1,1,0,0,0.0
6323,3,0,7,0,1,1,0,0,0.0
6328,3,0,8,0,1,1,0,0,0.0
6333,3,0,9,0,1,1,0,0,0.0
6338,3,0,10,0,1,1,0,0,0.0
6343,3,0,11,0,1,1,0,0,0.0
6348,3,0,12,0,1,1,0,0,0.0
6353,3,0,13,0,1,1,0,0,0.0
6358,3,0,14,0,1,1,0,0,0.0
6363,3,0,15,0,1,1,0,0,0.0
6368,3,0,16,0,1,1,0,0,0.0
6373,3,0,17,0,1,1,0,0,0.0
6378,3,0,18,0,1,1,0,0,0.0
6383,3,0,19,0,1,1,0,0,0.0
6388,3,0,20,0,1,1,0,0,0.0
6393,3,0,21,0,1,1,0,0,0.0
6398,3,0,22,0,1,1,0,0,0.0
6403,3,0,23,0,1,1,0,0,0.0
6408,3,0,24,0,1,1,0,0,0.0
6413,3,0,25,0,1,1,0,0,0.0
6418,3,0,26,0,1,1,0,0,0.0
6423,3,0,27,0,1,1,0,0,0.0
6428,3,0,28,0,1,1,0,0,0.0
6433,3,0,29,0,1,1,0,0,0.0
6438,3,0,30,0,1,1,0,0,0.0
6443,3,0,31,0,1,1,0,0,0.0
6448,3,0,32,0,1,1,0,0,0.0
6453,3,0,33,0,1,1,0,0,0.0
6458,3,0,34,0,1,1,0,0,0.0
6463,3,0,35,0,1,1,0,0,0.0
6468,3,0,36,0,1,1,0,0,0.0
6473,3,0,37,0,1,1,0,0,0.0
6478,3,0,38,0,1,1,0,0,0.0
6483,3,0,39,0,1,1,0,0,0.0
6488,3,0,40,0,1,1,0,0,0.0
6493,3,0,41,0,1,1,0,0,0.0
6498,3,0,42,0,1,1,0,0,0.0
6503,3,0,43,0,1,1,0,0,0.0
6508,3,0,44,0,1,1,0,0,0.0
6513,3,0,45,0,1,1,0,0,0.0
6518,3,0,46,0,1,1,0,0,0.0
6523,3,0,47,0,1,1,0,0,0.0
6528,3,0,48,0,1,1,0,0,0.0
6533,3,0,49,0,1,1,0,0,0.0
6538,3,0,50,0,1,1,0,0,0.0
